香港闽信保险有限公司	外资保险公司代表处	1997-3-5	请选择	
新华人寿保险股份有限公司福建分公司长乐支公司	保险公司－人身险	2012-1-17	营业	
新华人寿保险股份有限公司福建分公司长乐营销服务部	保险公司－人身险	2002-8-26	改建	
新华人寿保险股份有限公司莆田中心支公司	保险公司－人身险	2012-9-26	营业	
新华人寿保险股份有限公司莆田中心支公司涵江支公司	保险公司－人身险	2015-4-9	营业	
新华人寿保险股份有限公司三明中心支公司	保险公司－人身险	2004-7-6	营业	
新华人寿保险股份有限公司三明中心支公司三元营销服务部	保险公司－人身险	2008-7-23	营业	
新华人寿保险股份有限公司三明中心支公司大田营销服务部	保险公司－人身险	2006-2-23	营业	
新华人寿保险股份有限公司三明中心支公司尤溪支公司	保险公司－人身险	2009-9-4	营业	
新华人寿保险股份有限公司三明中心支公司沙县营销服务部	保险公司－人身险	2009-8-6	营业	
新华人寿保险股份有限公司三明中心支公司永安营销服务部	保险公司－人身险	2005-5-18	营业	
新华人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2002-10-10	营业	
新华人寿保险股份有限公司泉州中心支公司清濛营销服务部	保险公司－人身险	2009-8-11	营业	
新华人寿保险股份有限公司泉州中心支公司丰泽支公司	保险公司－人身险	2014-4-30	营业	
新华人寿保险股份有限公司泉州中心支公司丰泽营销服务部	保险公司－人身险	2005-10-12	改建	
新华人寿保险股份有限公司泉州中心支公司泉港营销服务部	保险公司－人身险	2005-9-22	营业	
新华人寿保险股份有限公司泉州中心支公司安溪支公司	保险公司－人身险	2012-3-19	营业	
新华人寿保险股份有限公司泉州中心支公司石狮支公司	保险公司－人身险	2012-3-6	营业	
新华人寿保险股份有限公司泉州中心支公司石狮营销服务部	保险公司－人身险	2005-10-12	改建	
新华人寿保险股份有限公司泉州中心支公司晋江营销服务部	保险公司－人身险	2004-11-10	营业	
新华人寿保险股份有限公司泉州中心支公司英林营销服务部	保险公司－人身险	2005-9-22	营业	
新华人寿保险股份有限公司泉州中心支公司龙湖营销服务部	保险公司－人身险	2006-2-13	营业	
新华人寿保险股份有限公司泉州中心支公司安海营销服务部	保险公司－人身险	2006-3-3	营业	
新华人寿保险股份有限公司泉州中心支公司金井营销服务部	保险公司－人身险	2012-7-23	营业	
新华人寿保险股份有限公司泉州中心支公司南安支公司	保险公司－人身险	2014-6-19	营业	
新华人寿保险股份有限公司泉州中心支公司南安营销服务部	保险公司－人身险	2008-7-11	改建	
新华人寿保险股份有限公司泉州中心支公司水头营销服务部	保险公司－人身险	2011-12-27	营业	
新华人寿保险股份有限公司泉州中心支公司洪濑营销服务部	保险公司－人身险	2011-12-27	营业	
新华人寿保险股份有限公司漳州中心支公司	保险公司－人身险	2003-1-15	营业	
新华人寿保险股份有限公司漳州中心支公司云霄支公司	保险公司－人身险	2009-9-28	营业	
新华人寿保险股份有限公司漳州中心支公司漳浦支公司	保险公司－人身险	2011-12-1	营业	
新华人寿保险股份有限公司漳州中心支公司漳浦营销服务部	保险公司－人身险	2004-11-10	改建	
新华人寿保险股份有限公司漳州中心支公司旧镇营销服务部	保险公司－人身险	2012-1-5	营业	
新华人寿保险股份有限公司漳州中心支公司诏安营销服务部	保险公司－人身险	2006-3-14	营业	
新华人寿保险股份有限公司漳州中心支公司东山支公司	保险公司－人身险	2012-2-23	营业	
新华人寿保险股份有限公司漳州中心支公司东山营销服务部	保险公司－人身险	2005-9-13	改建	
新华人寿保险股份有限公司漳州中心支公司龙海营销服务部	保险公司－人身险	2005-7-25	营业	
新华人寿保险股份有限公司漳州中心支公司角美营销服务部	保险公司－人身险	2006-5-18	营业	
新华人寿保险股份有限公司南平中心支公司	保险公司－人身险	2006-7-31	营业	
新华人寿保险股份有限公司南平中心支公司邵武支公司	保险公司－人身险	2012-1-17	营业	
新华人寿保险股份有限公司南平中心支公司建瓯营销服务部	保险公司－人身险	2009-8-6	营业	
新华人寿保险股份有限公司龙岩中心支公司	保险公司－人身险	2004-7-6	营业	
新华人寿保险股份有限公司龙岩中心支公司长汀支公司	保险公司－人身险	2009-9-4	营业	
新华人寿保险股份有限公司龙岩中心支公司永定支公司	保险公司－人身险	2010-5-18	营业	
新华人寿保险股份有限公司龙岩中心支公司上杭支公司	保险公司－人身险	2012-2-10	营业	
新华人寿保险股份有限公司龙岩中心支公司上杭营销服务部	保险公司－人身险	2006-2-13	改建	
新华人寿保险股份有限公司龙岩中心支公司连城营销服务部	保险公司－人身险	2005-4-22	营业	
新华人寿保险股份有限公司宁德中心支公司	保险公司－人身险	2012-9-25	营业	
泰康人寿保险有限责任公司福建分公司	保险公司－人身险	2002-4-16	营业	
泰康人寿保险有限责任公司福建电话销售中心	保险公司－人身险	2014-3-10	营业	
泰康人寿保险股份有限公司福建分公司鼓楼区第一营销服务部	保险公司－人身险	2002-9-25	改建	
泰康人寿保险有限责任公司福建福州台江支公司	保险公司－人身险	2010-8-17	营业	
泰康人寿保险有限责任公司福建福州仓山支公司	保险公司－人身险	2010-11-24	营业	
泰康人寿保险有限责任公司福建福州闽侯青口营销服务部	保险公司－人身险	2008-4-11	营业	
泰康人寿保险有限责任公司福建福州鸿尾营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建福州南屿营销服务部	保险公司－人身险	2011-6-14	营业	
泰康人寿保险有限责任公司福建福州闽侯营销服务部	保险公司－人身险	2004-7-19	营业	
泰康人寿保险有限责任公司福建福州连江营销服务部	保险公司－人身险	2006-1-23	营业	
泰康人寿保险有限责任公司福建自贸试验区平潭片区支公司	保险公司－人身险	2016-1-22	营业	
泰康人寿保险有限责任公司福建福清支公司	保险公司－人身险	2009-4-10	营业	
泰康人寿保险有限责任公司福建福清龙田营销服务部	保险公司－人身险	2008-8-15	营业	
泰康人寿保险有限责任公司福建福清音西营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建福清高山营销服务部	保险公司－人身险	2008-10-9	营业	
泰康人寿保险有限责任公司福建福清江阴营销服务部	保险公司－人身险	2008-10-9	营业	
泰康人寿保险有限责任公司福建福清东张营销服务部	保险公司－人身险	2008-10-16	营业	
泰康人寿保险有限责任公司福建福清宏路营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建福清渔溪营销服务部	保险公司－人身险	2004-12-3	营业	
泰康人寿保险有限责任公司福建福州长乐营销服务部	保险公司－人身险	2003-9-11	营业	
泰康人寿保险有限责任公司福建莆田中心支公司	保险公司－人身险	2003-7-24	营业	
泰康人寿保险有限责任公司福建莆田江口营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建莆田涵江营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建莆田西天尾营销服务部	保险公司－人身险	2008-10-9	营业	
泰康人寿保险有限责任公司福建莆田荔城营销服务部	保险公司－人身险	2008-5-23	营业	
泰康人寿保险有限责任公司福建莆田埭头营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建莆田仙游营销服务部	保险公司－人身险	2004-11-5	营业	
泰康人寿保险有限责任公司福建三明中心支公司	保险公司－人身险	2003-7-21	营业	
泰康人寿保险有限责任公司福建三明梅列营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建三明陈大营销服务部	保险公司－人身险	2010-11-22	营业	
泰康人寿保险有限责任公司福建三明洋溪营销服务部	保险公司－人身险	2010-12-22	营业	
泰康人寿保险有限责任公司福建三明上京营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建三明大田营销服务部	保险公司－人身险	2004-4-5	营业	
泰康人寿保险有限责任公司福建三明尤溪第一营销服务部	保险公司－人身险	2008-12-17	营业	
泰康人寿保险有限责任公司福建三明沙县第一营销服务部	保险公司－人身险	2007-12-20	营业	
泰康人寿保险有限责任公司福建三明永安营销服务部	保险公司－人身险	2004-6-22	营业	
泰康人寿保险有限责任公司福建泉州中心支公司	保险公司－人身险	2003-3-31	营业	
泰康人寿保险有限责任公司福建泉州泉港营销服务部	保险公司－人身险	2004-3-3	营业	
泰康人寿保险有限责任公司福建泉州东海营销服务部	保险公司－人身险	2008-10-9	营业	
泰康人寿保险有限责任公司福建泉州晋江清濛营销服务部	保险公司－人身险	2008-10-21	营业	
泰康人寿保险有限责任公司福建泉州城东营销服务部	保险公司－人身险	2009-8-13	营业	
