山西龙江保险公估有限公司	保险公估机构	2019-7-26	请选择	
中国银行股份有限公司运城市分行	保险兼业代理	未知	 	
中国银行股份有限公司运城东城支行	保险兼业代理	未知	 	
中国银行股份有限公司运城西城支行	保险兼业代理	未知	 	
中国建设银行股份有限公司盂县支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉住房城市建设支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉龙信支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉西城支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉天津路支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉广场支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉工业园区支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉电力支行	保险兼业代理	未知	 	
中国建设银行股份有限公司平定支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳泉分行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同阳高支行	保险兼业代理	未知	 	
中国工商银行股份有限公司灵丘支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同城建支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同牡丹支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同南郊支行	保险兼业代理	未知	 	
中国工商银行股份有限公司广灵支行	保险兼业代理	未知	 	
中国工商银行股份有限公司左云支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同分行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同矿务局支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同车站支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同西花园支行	保险兼业代理	未知	 	
中国工商银行股份有限公司浑源支行	保险兼业代理	未知	 	
中国建设银行股份有限公司阳高支行	保险兼业代理	未知	 	
中国建设银行股份有限公司灵丘支行	保险兼业代理	未知	 	
中国建设银行股份有限公司浑源支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同龙信支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同迎宾路支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同分行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同新荣支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同南郊支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同煤炭支行	保险兼业代理	未知	 	
中国建设银行股份有限公司左云支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同西环路支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同城建支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同住房城市建设支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同振华街支行	保险兼业代理	未知	 	
中国建设银行股份有限公司大同北城支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳泉北大街支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳泉新市街支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳泉南大街支行	保险兼业代理	未知	 	
中国工商银行股份有限公司平定支行	保险兼业代理	未知	 	
中国工商银行股份有限公司盂县支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳泉石卜嘴支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳泉矿区支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳泉赛鱼支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳泉桃河支行	保险兼业代理	未知	 	
