中国人寿保险股份有限公司沈阳市分公司	请选择	2003-6-30	请选择	
中国建设银行股份有限公司绥中支行	银行	未知	延续	
中国建设银行股份有限公司绥中和平分理处	银行	未知	延续	
中国建设银行股份有限公司盘锦锦采支行	银行	未知	延续	
中国建设银行股份有限公司盘锦锦峰储蓄所	银行	未知	申请	
中国建设银行股份有限公司盘锦钻井支行	银行	未知	延续	
中国建设银行股份有限公司盘锦迎宾支行	银行	未知	延续	
中国建设银行股份有限公司盘锦辽河路支行	银行	未知	延续	
中国建设银行股份有限公司盘锦蓝桥分理处	银行	未知	延续	
中国建设银行股份有限公司盘锦花园储蓄所	银行	未知	延续	
中国建设银行股份有限公司盘锦胜利支行	银行	未知	延续	
中国建设银行股份有限公司盘锦盘山支行	银行	未知	延续	
中国建设银行股份有限公司盘锦生态园支行	银行	未知	延续	
中国建设银行股份有限公司盘锦物探支行	银行	未知	延续	
中国建设银行股份有限公司盘锦瀚新支行	银行	未知	延续	
中国建设银行股份有限公司盘锦渤海支行	银行	未知	延续	
中国建设银行股份有限公司盘锦油城支行	银行	未知	延续	
中国建设银行股份有限公司盘锦河畔支行	银行	未知	延续	
中国建设银行股份有限公司盘锦欢采支行	银行	未知	延续	
中国建设银行股份有限公司盘锦欢喜岭支行	银行	未知	延续	
中国建设银行股份有限公司盘锦机联支行	银行	未知	延续	
中国建设银行股份有限公司盘锦曙光支行	银行	未知	延续	
中国建设银行股份有限公司盘锦晟华苑储蓄所	银行	未知	延续	
中国建设银行股份有限公司盘锦新工支行	银行	未知	延续	
中国建设银行股份有限公司盘锦建隆支行	银行	未知	延续	
中国建设银行股份有限公司盘锦广厦支行	银行	未知	延续	
中国建设银行股份有限公司盘锦幸福支行	银行	未知	延续	
中国建设银行股份有限公司盘锦局机关支行	银行	未知	延续	
中国建设银行股份有限公司盘锦大洼支行	银行	未知	延续	
中国建设银行股份有限公司盘锦商城支行	银行	未知	延续	
中国建设银行股份有限公司盘锦双台子支行	银行	未知	延续	
中国建设银行股份有限公司盘锦双兴支行	银行	未知	延续	
中国建设银行股份有限公司盘锦南小区支行	银行	未知	延续	
中国建设银行股份有限公司盘锦华商支行	银行	未知	延续	
中国建设银行股份有限公司盘锦化工支行	银行	未知	延续	
中国建设银行股份有限公司盘锦分行	银行	未知	延续	
中国建设银行股份有限公司盘锦兴隆支行	银行	未知	延续	
中国建设银行股份有限公司盘锦兴油支行	银行	未知	延续	
中国建设银行股份有限公司盘锦五四支行	银行	未知	延续	
中国建设银行股份有限公司盘锦云鹤储蓄所	银行	未知	延续	
中国建设银行股份有限公司盘锦于楼支行	银行	未知	延续	
中国建设银行股份有限公司盘锦中心街支行	银行	未知	延续	
中国建设银行股份有限公司盖州支行	银行	未知	延续	
中国建设银行股份有限公司灯塔支行	银行	未知	延续	
中国建设银行股份有限公司灯塔建设街支行	银行	未知	延续	
中国建设银行股份有限公司清原清河路支行	银行	未知	延续	
中国建设银行股份有限公司清原支行	银行	未知	延续	
中国建设银行股份有限公司海城顺城分理处	银行	未知	延续	
中国建设银行股份有限公司海城西柳支行	银行	未知	延续	
中国建设银行股份有限公司海城新东方支行	银行	未知	延续	
中国建设银行股份有限公司海城支行	银行	未知	延续	
中国建设银行股份有限公司海城建盛储蓄所	银行	未知	延续	
中国建设银行股份有限公司海城建华储蓄所	银行	未知	延续	
中国建设银行股份有限公司海城南台支行	银行	未知	延续	
中国建设银行股份有限公司海城兴海支行	银行	未知	延续	
中国建设银行股份有限公司海城中街分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳龙江支行	银行	未知	延续	
中国建设银行股份有限公司沈阳黄海路分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳黄河支行	银行	未知	延续	
中国建设银行股份有限公司沈阳鸭绿江支行	银行	未知	延续	
中国建设银行股份有限公司沈阳鲁美支行	银行	未知	延续	
中国建设银行股份有限公司沈阳马路湾支行	银行	未知	延续	
中国建设银行股份有限公司沈阳马壮支行	银行	未知	延续	
中国建设银行股份有限公司沈阳香杨路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳顺通支行	银行	未知	延续	
中国建设银行股份有限公司沈阳顺兴分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳青年路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳青山路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳长青街支行	银行	未知	延续	
中国建设银行股份有限公司沈阳长白岛支行	银行	未知	延续	
中国建设银行股份有限公司沈阳长江分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳长安支行	银行	未知	延续	
中国建设银行股份有限公司沈阳铁路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳铁路分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳铁西支行	银行	未知	延续	
中国建设银行股份有限公司沈阳金桥支行	银行	未知	延续	
中国建设银行股份有限公司沈阳重工北街分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳道义支行	银行	未知	延续	
中国建设银行股份有限公司沈阳通汇支行	银行	未知	延续	
中国建设银行股份有限公司沈阳辉山支行	银行	未知	延续	
中国建设银行股份有限公司沈阳轻轨支行	银行	未知	延续	
中国建设银行股份有限公司沈阳西塔支行	银行	未知	延续	
中国建设银行股份有限公司沈阳融汇支行	银行	未知	延续	
中国建设银行股份有限公司沈阳虎石台支行	银行	未知	延续	
中国建设银行股份有限公司沈阳蒲河分理处(中国建设银行沈阳蒲河分理处)	银行	未知	延续	
中国建设银行股份有限公司沈阳苏家屯支行	银行	未知	延续	
中国建设银行股份有限公司沈阳胜民支行	银行	未知	延续	
中国建设银行股份有限公司沈阳胜利南街分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳经济技术开发区支行	银行	未知	延续	
中国建设银行股份有限公司沈阳站前支行	银行	未知	延续	
中国建设银行股份有限公司沈阳立丰支行	银行	未知	延续	
中国建设银行股份有限公司沈阳科技园支行	银行	未知	延续	
中国建设银行股份有限公司沈阳砂阳路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳盛京支行	银行	未知	延续	
中国建设银行股份有限公司沈阳皇姑支行	银行	未知	延续	
中国建设银行股份有限公司沈阳珠江分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳爱工支行	银行	未知	延续	
中国建设银行股份有限公司沈阳滑翔支行	银行	未知	延续	
中国建设银行股份有限公司沈阳滑凌支行	银行	未知	延续	
中国建设银行股份有限公司沈阳滂江分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳湘江支行	银行	未知	延续	
中国建设银行股份有限公司沈阳淮河支行	银行	未知	延续	
中国建设银行股份有限公司沈阳浑南新区产业园分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳浑南支行	银行	未知	延续	
中国建设银行股份有限公司沈阳浑南中路支行	银行	未知	延续	
